transactionId,name,trace,amount,payDate
149878399596476,19030000000007,883177,33291,20221004150432
995334312348070,19030000000085,428405,32795,20221002222804
596998744203571,19030000000080,475139,16359,20221018231259
190188540960666,19030000000094,039648,70853,20221008124843
462836481771739,19030000000017,569995,54643,20221009161056
584928487425624,19030000000075,738775,75321,20221026034609
392266133916307,19030000000093,785285,51287,20221007024541
220649403114478,19030000000075,832363,58029,20221002105641
231718961166862,19030000000003,510902,50811,20221013111229
409758022797370,19030000000012,316515,13578,20221015134138
422264109854959,19030000000025,793508,26375,20221019070714
485004092524662,19030000000044,654865,62683,20221019064550
816341398640250,19030000000002,309431,33906,20221015011634
350329270579310,19030000000006,190372,35022,20221004184506
897527102646850,19030000000059,723678,67334,20221024180102
678879632309188,19030000000080,959862,65103,20221024163218
823242484203743,19030000000092,238995,43938,20221017172213
828524925072362,19030000000024,097400,88096,20221021110424
186328478525031,19030000000038,928261,95332,20221021215934
170845910090051,19030000000064,200525,72386,20221011045754
298494941141843,19030000000080,693378,60884,20221012035253
455378003605664,19030000000075,366236,96961,20221012061323
533866167054452,19030000000047,424747,4402,20221010041416
493953903467515,19030000000080,729645,95842,20221020105154
870115354766047,19030000000067,800255,37234,20221009054418
245390956027643,19030000000043,091940,53339,20221015075553
658721503718303,19030000000063,747315,36400,20221013200354
578066958372419,19030000000028,314805,12788,20221021114527
759629374299898,19030000000058,748853,33014,20221006052813
647363047207037,19030000000063,890676,74297,20221008234455
587993259268681,19030000000050,697163,42873,20221001114202
272797115029822,19030000000089,882411,11411,20221007195401
226073931437459,19030000000015,963098,38216,20221025115220
562902639739191,19030000000081,346560,90075,20221003075328
814868120123798,19030000000077,841092,87445,20221011095534
909416485445125,19030000000098,673897,4140,20221016071205
745639779882347,19030000000058,779233,502,20221015152547
596255408283520,19030000000078,804162,142,20221025125559
056592632294921,19030000000097,856489,22628,20221025050908
036578415365243,19030000000069,621494,4661,20221018113624
262854843113784,19030000000081,665033,57291,20221014201852
025283160135998,19030000000062,729027,5181,20221016003535
878717310293831,19030000000035,027331,34089,20221016062314
466423721022899,19030000000021,744661,20469,20221017163911
635507803206547,19030000000062,911115,47243,20221019200754
870513352198189,19030000000082,885066,50110,20221004001316
074234541692839,19030000000015,010888,27899,20221003174843
889192513702726,19030000000073,288786,95479,20221022095910
306900729642235,19030000000070,677210,73602,20221007223605
972899636378920,19030000000023,106043,55355,20221010111314
794825221832491,19030000000022,667980,21810,20221003190527
574346318990988,19030000000024,272909,20002,20221002183011
616971612470702,19030000000057,440410,5729,20221013021313
344534110688945,19030000000044,099022,20912,20221024081937
677925570405954,19030000000028,256313,84522,20221012193809
748587806267125,19030000000004,247403,53640,20221010035239
536688680781724,19030000000080,858907,17817,20221013055612
671010838019711,19030000000037,138479,60586,20221018155037
343918858700195,19030000000035,640591,55067,20221017215301
710540283199236,19030000000046,685771,22703,20221015032433
483729923729508,19030000000006,000434,24451,20221020161700
659669124367031,19030000000099,308323,72316,20221013011825
231177150264701,19030000000073,616518,18161,20221021132859
965928468945200,19030000000018,743254,57588,20221014125245
852842253044915,19030000000031,691773,26924,20221005111023
477014508098089,19030000000002,446405,97464,20221020153431
886852956153718,19030000000044,997969,30987,20221004034032
926119949642338,19030000000002,404703,89254,20221014030741
829151162712529,19030000000056,464305,68845,20221024022238
428870495253180,19030000000067,041973,48238,20221014003255
267791636370289,19030000000063,589733,65171,20221003165851
864602125606888,19030000000065,338498,73275,20221027003740
267851471717779,19030000000094,800433,38804,20221017175903
777207811007468,19030000000005,196213,51557,20221009051949
866628613113924,19030000000011,914365,11564,20221015085504
489745071887556,19030000000037,195177,72821,20221016025343
702067326420701,19030000000087,074676,74137,20221008171526
616492910677274,19030000000052,295809,27688,20221022092212
296644738027673,19030000000047,367376,69696,20221017073144
684083328640098,19030000000080,532799,41680,20221025035232
675802030898849,19030000000043,847996,32177,20221025211916
891638229247705,19030000000058,668795,89723,20221017135710
565149512768445,19030000000001,048163,25046,20221027160552
740332994618280,19030000000029,771720,17383,20221005215444
050848775036489,19030000000056,389671,21134,20221002071617
043009801899810,19030000000034,289158,91764,20221004230747
811111632521926,19030000000048,100923,81519,20221010210351
680899269393533,19030000000093,561856,66103,20221002130637
127487065573992,19030000000013,545002,53178,20221024002131
605585973644135,19030000000041,484000,34089,20221023122418
303554685077876,19030000000080,705341,38179,20221006181658
466037919280941,19030000000067,087480,20721,20221023160839
986352488049310,19030000000024,600047,98835,20221025224208
574194883553936,19030000000098,320612,70296,20221014213319
024666918365211,19030000000099,422618,14683,20221021150442
506120983718802,19030000000042,186140,93857,20221019052638
612120413603200,19030000000034,915158,58511,20221007044047
953761682978261,19030000000079,502785,11277,20221010011759
717082017640653,19030000000026,354392,7476,20221018213336
813382930623175,19030000000035,270428,63737,20221023210631
